2025-04-04 18:21:15 [main] INFO  Log - Starting Webdriver...
2025-04-04 18:21:18 [main] INFO  Log - Navigating to URL...
2025-04-04 18:21:20 [main] INFO  Log - Starting Login Test...
2025-04-04 18:21:20 [main] INFO  Log - Adding Cretentials...
2025-04-04 18:21:20 [main] INFO  Log - Cicking Login button...
2025-04-04 18:21:21 [main] INFO  Log - Verfiying Page title...
2025-04-04 18:21:21 [main] INFO  Log - Closing Browser...
2025-04-07 18:53:38 [main] INFO  Log - Starting WebDriver...
2025-04-07 18:53:42 [main] INFO  Log - Navigating to URL...
2025-04-07 18:53:42 [main] INFO  Log - Starting login test...
2025-04-07 18:53:42 [main] INFO  Log - Adding credentials
2025-04-07 18:53:43 [main] INFO  Log - Cicking Login button...
2025-04-07 18:53:43 [main] INFO  Log - Verifying page title
2025-04-07 18:53:43 [main] INFO  Log - Closing Browser...
2025-04-09 10:36:10 [main] INFO  Log - Starting WebDriver...
2025-04-09 10:36:21 [main] INFO  Log - Navigating to URL...
2025-04-09 10:36:22 [main] INFO  Log - Starting login test...
2025-04-09 10:36:23 [main] INFO  Log - Adding credentials
2025-04-09 10:36:24 [main] INFO  Log - Cicking Login button...
2025-04-09 10:36:25 [main] INFO  Log - Verifying page title
2025-04-09 10:36:25 [main] INFO  Log - Closing Browser...
2025-04-09 10:39:36 [main] INFO  Log - Starting WebDriver...
2025-04-09 10:39:43 [main] INFO  Log - Navigating to URL...
2025-04-09 10:39:44 [main] INFO  Log - Starting login test...
2025-04-09 10:39:44 [main] INFO  Log - Adding credentials
2025-04-09 10:39:46 [main] INFO  Log - Cicking Login button...
2025-04-09 10:39:46 [main] INFO  Log - Verifying page title
2025-04-09 10:39:47 [main] INFO  Log - Closing Browser...
2025-04-09 11:13:26 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:13:29 [main] INFO  Log - Navigating to URL...
2025-04-09 11:13:30 [main] INFO  Log - Starting login test...
2025-04-09 11:13:30 [main] INFO  Log - Adding credentials
2025-04-09 11:13:31 [main] INFO  Log - Cicking Login button...
2025-04-09 11:13:31 [main] INFO  Log - Closing Browser...
2025-04-09 11:13:50 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:13:53 [main] INFO  Log - Navigating to URL...
2025-04-09 11:13:54 [main] INFO  Log - Starting login test...
2025-04-09 11:13:54 [main] INFO  Log - Adding credentials
2025-04-09 11:13:55 [main] INFO  Log - Cicking Login button...
2025-04-09 11:13:55 [main] INFO  Log - Closing Browser...
2025-04-09 11:14:13 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:14:17 [main] INFO  Log - Navigating to URL...
2025-04-09 11:14:18 [main] INFO  Log - Starting login test...
2025-04-09 11:14:18 [main] INFO  Log - Adding credentials
2025-04-09 11:14:18 [main] INFO  Log - Cicking Login button...
2025-04-09 11:14:19 [main] INFO  Log - Closing Browser...
2025-04-09 11:18:32 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:18:36 [main] INFO  Log - Navigating to URL...
2025-04-09 11:18:37 [main] INFO  Log - Starting login test...
2025-04-09 11:18:37 [main] INFO  Log - Adding credentials
2025-04-09 11:18:38 [main] INFO  Log - Cicking Login button...
2025-04-09 11:18:38 [main] INFO  Log - Closing Browser...
2025-04-09 11:19:48 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:19:52 [main] INFO  Log - Navigating to URL...
2025-04-09 11:19:53 [main] INFO  Log - Starting login test...
2025-04-09 11:19:53 [main] INFO  Log - Adding credentials
2025-04-09 11:19:53 [main] INFO  Log - Cicking Login button...
2025-04-09 11:19:54 [main] INFO  Log - Closing Browser...
2025-04-09 11:25:34 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:25:37 [main] INFO  Log - Navigating to URL...
2025-04-09 11:25:39 [main] INFO  Log - Starting login test...
2025-04-09 11:25:39 [main] INFO  Log - Adding credentials
2025-04-09 11:25:39 [main] INFO  Log - Cicking Login button...
2025-04-09 11:25:39 [main] INFO  Log - Closing Browser...
2025-04-09 11:31:36 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:31:39 [main] INFO  Log - Navigating to URL...
2025-04-09 11:31:40 [main] INFO  Log - Starting login test...
2025-04-09 11:31:40 [main] INFO  Log - Adding credentials
2025-04-09 11:31:41 [main] INFO  Log - Cicking Login button...
2025-04-09 11:31:41 [main] INFO  Log - Verifying page title
2025-04-09 11:31:41 [main] INFO  Log - Closing Browser...
2025-04-09 11:32:47 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:32:50 [main] INFO  Log - Navigating to URL...
2025-04-09 11:32:52 [main] INFO  Log - Starting login test...
2025-04-09 11:32:52 [main] INFO  Log - Adding credentials
2025-04-09 11:32:52 [main] INFO  Log - Cicking Login button...
2025-04-09 11:32:53 [main] INFO  Log - Verifying page title
2025-04-09 11:32:53 [main] INFO  Log - Closing Browser...
2025-04-09 11:35:24 [main] INFO  Log - Starting WebDriver...
2025-04-09 11:35:27 [main] INFO  Log - Navigating to URL...
2025-04-09 11:35:28 [main] INFO  Log - Starting login test...
2025-04-09 11:35:28 [main] INFO  Log - Adding credentials
2025-04-09 11:35:28 [main] INFO  Log - Closing Browser...
2025-04-10 14:27:58 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:27:58 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:27:58 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:27:59 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:27:59 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:27:59 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:10 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:11 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:11 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:13 [main] INFO  Log - Starting login test...
2025-04-10 14:28:14 [main] INFO  Log - Starting login test...
2025-04-10 14:28:14 [main] INFO  Log - Starting login test...
2025-04-10 14:28:14 [main] INFO  Log - Adding credentials
2025-04-10 14:28:14 [main] INFO  Log - Adding credentials
2025-04-10 14:28:14 [main] INFO  Log - Adding credentials
2025-04-10 14:28:15 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:15 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:16 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:16 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:16 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:16 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:17 [main] INFO  Log - Starting login test...
2025-04-10 14:28:17 [main] INFO  Log - Adding credentials
2025-04-10 14:28:18 [main] INFO  Log - Starting login test...
2025-04-10 14:28:18 [main] INFO  Log - Adding credentials
2025-04-10 14:28:19 [main] INFO  Log - Starting login test...
2025-04-10 14:28:19 [main] INFO  Log - Adding credentials
2025-04-10 14:28:19 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:19 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:19 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:19 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:20 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:20 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:20 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:20 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:22 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:26 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:27 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:29 [main] INFO  Log - Starting login test...
2025-04-10 14:28:29 [main] INFO  Log - Adding credentials
2025-04-10 14:28:29 [main] INFO  Log - Starting login test...
2025-04-10 14:28:29 [main] INFO  Log - Adding credentials
2025-04-10 14:28:29 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:30 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:30 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:31 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:31 [main] INFO  Log - Starting login test...
2025-04-10 14:28:31 [main] INFO  Log - Adding credentials
2025-04-10 14:28:31 [main] INFO  Log - Starting login test...
2025-04-10 14:28:31 [main] INFO  Log - Adding credentials
2025-04-10 14:28:31 [main] INFO  Log - Starting login test...
2025-04-10 14:28:31 [main] INFO  Log - Adding credentials
2025-04-10 14:28:32 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:33 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:33 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:34 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:36 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:36 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:36 [main] INFO  Log - Starting login test...
2025-04-10 14:28:36 [main] INFO  Log - Adding credentials
2025-04-10 14:28:36 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:37 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:37 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:37 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:28:43 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:44 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:45 [main] INFO  Log - Starting login test...
2025-04-10 14:28:45 [main] INFO  Log - Adding credentials
2025-04-10 14:28:46 [main] INFO  Log - Starting login test...
2025-04-10 14:28:46 [main] INFO  Log - Adding credentials
2025-04-10 14:28:47 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:47 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:47 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:48 [main] INFO  Log - Starting login test...
2025-04-10 14:28:48 [main] INFO  Log - Adding credentials
2025-04-10 14:28:48 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:49 [main] INFO  Log - Starting login test...
2025-04-10 14:28:49 [main] INFO  Log - Adding credentials
2025-04-10 14:28:50 [main] INFO  Log - Navigating to URL...
2025-04-10 14:28:50 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:51 [main] INFO  Log - Closing Browser...
2025-04-10 14:28:51 [main] INFO  Log - Starting login test...
2025-04-10 14:28:51 [main] INFO  Log - Adding credentials
2025-04-10 14:28:52 [main] INFO  Log - Closing Browser...
2025-04-10 14:29:49 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:29:55 [main] INFO  Log - Navigating to URL...
2025-04-10 14:29:56 [main] INFO  Log - Starting login test...
2025-04-10 14:29:56 [main] INFO  Log - Adding credentials
2025-04-10 14:29:57 [main] INFO  Log - Closing Browser...
2025-04-10 14:29:58 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:30:02 [main] INFO  Log - Navigating to URL...
2025-04-10 14:30:03 [main] INFO  Log - Starting login test...
2025-04-10 14:30:03 [main] INFO  Log - Adding credentials
2025-04-10 14:30:04 [main] INFO  Log - Closing Browser...
2025-04-10 14:30:04 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:30:08 [main] INFO  Log - Navigating to URL...
2025-04-10 14:30:10 [main] INFO  Log - Starting login test...
2025-04-10 14:30:10 [main] INFO  Log - Adding credentials
2025-04-10 14:32:19 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:32:24 [main] INFO  Log - Navigating to URL...
2025-04-10 14:32:26 [main] INFO  Log - Starting login test...
2025-04-10 14:32:26 [main] INFO  Log - Adding credentials
2025-04-10 14:32:27 [main] INFO  Log - Closing Browser...
2025-04-10 14:32:27 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:32:31 [main] INFO  Log - Navigating to URL...
2025-04-10 14:32:33 [main] INFO  Log - Starting login test...
2025-04-10 14:32:33 [main] INFO  Log - Adding credentials
2025-04-10 14:32:33 [main] INFO  Log - Closing Browser...
2025-04-10 14:32:34 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:32:38 [main] INFO  Log - Navigating to URL...
2025-04-10 14:32:40 [main] INFO  Log - Starting login test...
2025-04-10 14:32:40 [main] INFO  Log - Adding credentials
2025-04-10 14:32:40 [main] INFO  Log - Closing Browser...
2025-04-10 14:37:28 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:37:33 [main] INFO  Log - Navigating to URL...
2025-04-10 14:37:35 [main] INFO  Log - Starting login test...
2025-04-10 14:37:35 [main] INFO  Log - Adding credentials
2025-04-10 14:37:36 [main] INFO  Log - Closing Browser...
2025-04-10 14:37:36 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:37:40 [main] INFO  Log - Navigating to URL...
2025-04-10 14:37:42 [main] INFO  Log - Starting login test...
2025-04-10 14:37:42 [main] INFO  Log - Adding credentials
2025-04-10 14:37:42 [main] INFO  Log - Closing Browser...
2025-04-10 14:37:43 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:37:47 [main] INFO  Log - Navigating to URL...
2025-04-10 14:37:48 [main] INFO  Log - Starting login test...
2025-04-10 14:37:48 [main] INFO  Log - Adding credentials
2025-04-10 14:37:49 [main] INFO  Log - Closing Browser...
2025-04-10 14:38:17 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:38:23 [main] INFO  Log - Navigating to URL...
2025-04-10 14:38:24 [main] INFO  Log - Starting login test...
2025-04-10 14:38:24 [main] INFO  Log - Adding credentials
2025-04-10 14:38:25 [main] INFO  Log - Closing Browser...
2025-04-10 14:38:25 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:38:29 [main] INFO  Log - Navigating to URL...
2025-04-10 14:38:31 [main] INFO  Log - Starting login test...
2025-04-10 14:38:31 [main] INFO  Log - Adding credentials
2025-04-10 14:38:31 [main] INFO  Log - Closing Browser...
2025-04-10 14:38:32 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:38:36 [main] INFO  Log - Navigating to URL...
2025-04-10 14:38:37 [main] INFO  Log - Starting login test...
2025-04-10 14:38:37 [main] INFO  Log - Adding credentials
2025-04-10 14:38:38 [main] INFO  Log - Closing Browser...
2025-04-10 14:40:36 [main] INFO  Log - Fetch the Worksheet...
2025-04-10 14:40:36 [main] INFO  Log - Navigate to the Sheet...
2025-04-10 14:40:38 [main] INFO  Log - Enter crediantials...
2025-04-10 14:40:38 [main] INFO  Log - Enter crediantials...
2025-04-10 14:40:38 [main] INFO  Log - Enter crediantials...
2025-04-10 14:40:38 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:40:44 [main] INFO  Log - Navigating to URL...
2025-04-10 14:40:45 [main] INFO  Log - Starting login test...
2025-04-10 14:40:45 [main] INFO  Log - Adding credentials
2025-04-10 14:40:46 [main] INFO  Log - Closing Browser...
2025-04-10 14:40:47 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:40:51 [main] INFO  Log - Navigating to URL...
2025-04-10 14:40:52 [main] INFO  Log - Starting login test...
2025-04-10 14:40:52 [main] INFO  Log - Adding credentials
2025-04-10 14:40:53 [main] INFO  Log - Closing Browser...
2025-04-10 14:40:54 [main] INFO  Log - Starting WebDriver...
2025-04-10 14:40:58 [main] INFO  Log - Navigating to URL...
2025-04-10 14:40:59 [main] INFO  Log - Starting login test...
2025-04-10 14:40:59 [main] INFO  Log - Adding credentials
2025-04-10 14:41:00 [main] INFO  Log - Closing Browser...
2025-04-10 18:39:47 [main] INFO  Log - Fetch the Worksheet...
2025-04-10 18:39:47 [main] INFO  Log - Navigate to the Sheet...
2025-04-10 18:39:48 [main] INFO  Log - Enter crediantials...
2025-04-10 18:39:48 [main] INFO  Log - Enter crediantials...
2025-04-10 18:39:48 [main] INFO  Log - Enter crediantials...
2025-04-10 18:39:48 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:39:53 [main] INFO  Log - Navigating to URL...
2025-04-10 18:39:54 [main] INFO  Log - Starting login test...
2025-04-10 18:39:54 [main] INFO  Log - Adding credentials
2025-04-10 18:39:55 [main] INFO  Log - Closing Browser...
2025-04-10 18:39:55 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:39:58 [main] INFO  Log - Navigating to URL...
2025-04-10 18:40:00 [main] INFO  Log - Starting login test...
2025-04-10 18:40:00 [main] INFO  Log - Adding credentials
2025-04-10 18:40:00 [main] INFO  Log - Closing Browser...
2025-04-10 18:40:00 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:40:03 [main] INFO  Log - Navigating to URL...
2025-04-10 18:40:04 [main] INFO  Log - Starting login test...
2025-04-10 18:40:04 [main] INFO  Log - Adding credentials
2025-04-10 18:40:05 [main] INFO  Log - Closing Browser...
2025-04-10 18:40:56 [main] INFO  Log - Fetch the Worksheet...
2025-04-10 18:40:56 [main] INFO  Log - Navigate to the Sheet...
2025-04-10 18:44:00 [main] INFO  Log - Fetch the Worksheet...
2025-04-10 18:44:00 [main] INFO  Log - Navigate to the Sheet...
2025-04-10 18:44:01 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:01 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:01 [main] INFO  Log - Enter crediantials...
2025-04-10 18:44:01 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:44:05 [main] INFO  Log - Navigating to URL...
2025-04-10 18:44:06 [main] INFO  Log - Starting login test...
